Label,Deposit,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
Au-rich PCDs,Oyu Tolgoi Cu-Au,65.37,0.6,17.98,5.39,0.12,1.53,3.89,4.92,3.13,0.24,64.3,1055,16.5,111,6.7,956,15.9,32.8,3.78,15.5,3.49,1.13,3.54,0.58,3.35,0.63,1.93,0.27,2,0.32,3,0.4,2.63,1.54
Au-rich PCDs,Oyu Tolgoi Cu-Au,57.42,0.58,17.77,5.19,0.19,1.48,4.52,5.48,3.13,0.27,58.6,1035,19.2,91.9,6,770,15.4,30.9,3.7,16.1,3.5,1.2,3.8,0.6,3.3,0.7,2.1,0.3,2.1,0.3,3,0.5,3,1.3
Au-rich PCDs,Oyu Tolgoi Cu-Au,63.1,0.33,16.61,3.78,0.08,0.73,1.96,4.91,3.96,0.13,69,695,12.3,104,4.7,821,11.4,20.8,2.33,9.59,2.07,0.68,2.02,0.33,1.91,0.4,1.26,0.21,1.54,0.28,2.4,0.34,2.81,1.71
Au-rich PCDs,Oyu Tolgoi Cu-Au,65.13,0.31,16.21,3.68,0.1,0.79,1.97,4.99,3.36,0.12,60,499,12.1,111,4.7,841,11.5,21.9,2.49,10.1,2.09,0.68,1.97,0.31,1.9,0.4,1.25,0.2,1.46,0.25,2.5,0.34,2.63,1.32
Au-rich PCDs,Oyu Tolgoi Cu-Au,64.38,0.35,17.36,3.74,0.04,0.82,1.6,5.61,3.78,0.12,70,661,13,105,4.9,959,13.9,25.2,2.84,11.4,2.32,0.77,2.21,0.35,2.07,0.43,1.32,0.22,1.59,0.28,2.4,0.3,2.38,1.54
Au-rich PCDs,Oyu Tolgoi Cu-Au,60.23,0.56,17.84,5.8,0.05,1.56,3.43,4.33,4.15,0.28,101,876,25.2,170,7.7,829,17.4,37,4.97,18.2,4.27,1.32,4.18,0.68,3.99,0.8,2.42,0.36,2.37,0.38,4.3,0.42,3.39,2
Au-rich PCDs,Oyu Tolgoi Cu-Au,65.13,0.31,16.01,2.91,0.04,0.56,2.41,4.18,4.87,0.11,94,514,14.4,105,5.6,971,13.2,24.4,2.93,10.2,2.18,0.73,2.09,0.34,2.11,0.45,1.43,0.23,1.5,0.24,2.7,0.29,2.32,1.64
Au-rich PCDs,Almalyk Cu-Au,69.65,0.17,10.51,9.1,0.04,0.89,0.45,0.77,6.67,0.14,139,139,9.6,101,1.79,647,5.24,10.93,1.59,7.03,1.68,0.44,1.6,0.26,1.61,0.33,0.9,0.13,0.87,0.13,2.92,0.21,10.8,2.16
Au-rich PCDs,Almalyk Cu-Au,66.55,0.28,14.07,4.73,0.09,1.09,0.97,0.96,7.16,0.17,180,137,10.3,131,5.63,766,12.51,20.43,2.45,9.89,2.19,0.64,1.99,0.29,1.66,0.33,0.92,0.14,0.91,0.14,4.05,0.56,21.5,4.23
Au-rich PCDs,Almalyk Cu-Au,65.53,0.3,14.25,5.66,0.05,1.3,1.79,2.67,5.79,0.19,130,349,13.4,143,7.5,482,24.17,42.42,4.79,17.86,3.35,0.81,2.85,0.4,2.21,0.46,1.35,0.21,1.4,0.22,4.2,0.64,19.3,6.66
Au-rich PCDs,Almalyk Cu-Au,61.12,0.58,15.72,5.68,0.12,2.65,4.01,3.37,4.18,0.25,122,580,20,179,10.6,1594,37.75,69.39,8.07,30.53,5.38,1.2,4.63,0.65,3.65,0.74,2.04,0.32,2.09,0.32,5.14,0.85,19.5,6.73
Au-rich PCDs,Almalyk Cu-Au,60.49,0.58,15.75,5.65,0.1,2.72,4.43,3.75,3.84,0.25,95,468,18.8,178,10,1326,36.59,67.78,7.86,29.44,5.15,1.18,4.68,0.65,3.59,0.71,1.97,0.3,1.89,0.29,5.01,0.78,19.3,6.63
Au-rich PCDs,Almalyk Cu-Au,58.49,0.6,15.06,6.29,0.12,3.28,5.53,3.19,3.77,0.27,86,556,18.5,153,9.5,1570,36.02,66.55,7.88,30.19,5.24,1.27,4.92,0.67,3.53,0.7,1.92,0.3,1.97,0.29,4.5,0.77,17.6,6.32
Au-rich PCDs,Almalyk Cu-Au,60.18,0.61,15.8,5.69,0.1,2.74,4.13,3.69,4,0.25,108,508,20.2,183,11.7,1514,39.31,70.71,8.33,31.76,5.56,1.24,4.87,0.7,3.89,0.77,2.1,0.33,2.11,0.33,5.41,0.87,21.7,7.15
Au-rich PCDs,Almalyk Cu-Au,60.47,0.55,14.71,8.66,0.05,2.9,1.35,1.33,7.53,0.48,181.46,251.35,21.48,117.96,11.19,917.52,15.01,34.92,5.01,20.85,4.77,1.07,4.55,0.68,3.58,0.75,1.94,0.26,1.71,0.32,4.56,0.53,10.94,1.96
Au-rich PCDs,Almalyk Cu-Au,55.68,0.58,14.88,9.08,0.05,2.96,1.29,1.47,7.68,0.4,175.24,276.47,21.13,111.01,11.01,930.62,14.47,34.41,4.73,20.38,4.99,1.17,4.21,0.61,3.59,0.67,1.88,0.27,1.77,0.27,3.87,0.47,7.21,1.26
Au-rich PCDs,Almalyk Cu-Au,57.16,0.5,15.14,9.18,0.07,3,1.29,0.39,8.32,0.41,193.24,205.8,19.54,60.99,8.19,1001.53,14.12,34.04,4.85,19.89,4.86,1.11,4.54,0.63,3.5,0.71,1.8,0.24,1.69,0.25,2.43,0.4,5.25,3.9
Au-rich PCDs,Almalyk Cu-Au,69.83,0.22,12.87,1.78,0.05,0.79,0.94,0.29,8.76,0.06,210.63,109.82,21.77,143.09,8.11,732.54,21.57,42.63,5.13,18.57,3.96,0.77,3.92,0.61,3.39,0.78,2.08,0.32,1.99,0.29,4.66,1.05,14.74,6.36
Au-rich PCDs,Almalyk Cu-Au,65.92,0.28,14.17,4.41,0.06,1.14,1.25,1.97,7,0.18,159,223,13,132,8.62,657,13.73,26.72,3.51,13.89,2.97,0.75,2.52,0.38,2.2,0.44,1.21,0.18,1.2,0.19,4.14,0.89,23.1,4.18
Au-rich PCDs,Almalyk Cu-Au,64.19,0.29,13.51,8.1,0.09,1.47,1.22,2.28,6.18,0.18,142,233,13.3,131,6.37,453,18.54,33.25,4.13,15.85,3.14,0.75,2.76,0.42,2.3,0.46,1.25,0.19,1.27,0.2,4.02,0.63,18.4,5.26
Au-rich PCDs,Cobre Panama Cu-Mo-Au,63.71,0.47,16.04,4.82,0.17,1.84,5.21,4.07,1.7,0.18,26.7,448.8,14.5,106.4,7.5,956,17.9,31.4,3.61,14.1,2.66,0.79,2.55,0.41,2.25,0.53,1.42,0.23,1.47,0.25,2.7,0.5,3.3,1.2
Au-rich PCDs,Cobre Panama Cu-Mo-Au,64.94,0.37,15.33,5.15,0.45,1.49,4.01,3.45,1.71,0.15,41.7,534.8,12.1,91.2,8.5,790,22.3,39.9,4.57,15.6,2.57,0.77,2.3,0.35,1.96,0.42,1.3,0.22,1.49,0.24,2.8,0.4,3.2,1.9
Au-rich PCDs,Cobre Panama Cu-Mo-Au,57.11,0.71,16.64,7.69,0.18,3.02,5.98,3.39,2.26,0.24,45.8,577,17.6,89.9,5.9,802,14,26.2,3.26,13.4,2.87,0.97,3.14,0.49,3.12,0.56,1.87,0.28,1.77,0.29,2.6,0.5,2.2,0.9
Au-rich PCDs,Cobre Panama Cu-Mo-Au,66.04,0.33,16.13,4.68,0.06,1.43,3.89,3.96,1.69,0.15,31.6,641.9,10.5,104.2,7.8,759,19.4,31.6,3.68,13.5,2.3,0.67,2.12,0.32,1.84,0.39,1.17,0.2,1.37,0.21,2.6,0.5,3.3,1.1
Au-rich PCDs,Cobre Panama Cu-Mo-Au,65.07,0.41,15.98,5.57,0.24,1.52,3.61,3.59,1.64,0.16,40,561.6,12.3,99.1,6.3,923,14.8,26.4,2.99,11.7,2.08,0.73,2.03,0.33,2.04,0.45,1.32,0.21,1.56,0.23,2.5,0.3,2.1,0.7
Au-rich PCDs,Cobre Panama Cu-Mo-Au,66.11,0.41,16.74,2.38,0.25,2.64,4.19,3.6,0.83,0.2,27.6,616.5,5.1,99.1,5.8,592,4.7,7.1,0.67,2.2,0.48,0.4,0.64,0.11,0.68,0.16,0.57,0.09,0.79,0.12,2.7,0.3,3,1.8
Au-rich PCDs,Cobre Panama Cu-Mo-Au,57.7,0.55,17.17,7.57,0.32,2.89,6.69,3.36,0.71,0.22,13.6,666,12.3,75.8,5.9,622,15.9,26.9,3.19,13.6,2.46,0.73,2.34,0.36,2.23,0.5,1.33,0.21,1.34,0.2,2.1,0.4,3.1,0.9
Au-rich PCDs,Cobre Panama Cu-Mo-Au,60.95,0.55,16.24,5.9,0.34,2.32,3.81,4.01,2.73,0.2,58.7,423.2,14,88.4,6,1017,15.1,28.3,3.33,14.4,2.69,0.78,2.54,0.39,2.28,0.48,1.59,0.22,1.54,0.23,2.7,0.4,2.8,1.2
Au-rich PCDs,Cobre Panama Cu-Mo-Au,64.47,0.4,15.84,5.47,0.14,1.93,3.25,4.13,1.21,0.17,37.1,463.8,10.7,106,4.1,563,8.3,14.1,1.9,6.9,1.7,0.55,1.93,0.34,1.78,0.39,1.16,0.17,1.36,0.19,2.8,0.3,3.4,1
Au-rich PCDs,Cobre Panama Cu-Mo-Au,62.28,0.52,15.01,5.67,0.2,2.19,5.33,2.13,3.65,0.16,78.2,487.9,13.8,118.4,6.9,1395,14.7,24.6,2.85,11.5,2.33,0.72,2.38,0.41,2.1,0.51,1.53,0.25,1.52,0.25,3.2,0.4,2.9,1
Au-rich PCDs,Cobre Panama Cu-Mo-Au,62.35,0.55,16.86,6.4,0.07,2.34,4.03,3.25,0.92,0.2,22.8,592.7,15,103.9,6.1,465,14.4,27.2,3.6,14.2,3,0.93,2.97,0.46,2.49,0.49,1.44,0.22,1.39,0.24,3,0.3,2.9,1
Au-rich PCDs,Atlas Cu-Au,59.55,0.45,16.05,5.65,0.1,3.21,4.54,3.96,2.66,0.17,36.9,938,13.7,109,3.5,0.09,20.8,41.1,4.8,18.2,3.39,1.05,2.91,0.4,2.36,0.47,1.44,0.22,1.55,0.24,2.9,0.3,4.53,0.95
Au-rich PCDs,Atlas Cu-Au,60.97,0.48,16.78,5.99,0.09,2.93,4.52,3.64,2.48,0.18,33.4,881,12.8,125,3.6,0.08,21.9,41.8,4.46,17.2,3.13,1.02,2.55,0.34,2.2,0.45,1.38,0.21,1.41,0.23,3.2,0.2,3.86,0.8
Au-rich PCDs,Atlas Cu-Au,59.11,0.54,16.59,6.68,0.09,3.84,3.98,4.36,2.2,0.2,43.7,752,13.9,91,2.8,0.06,18.4,36.7,4.11,16,3.18,1.06,2.87,0.39,2.32,0.48,1.41,0.22,1.46,0.23,2.5,0.2,3.08,0.69
Au-rich PCDs,Atlas Cu-Au,59.16,0.47,16.96,5.36,0.07,2.94,5.23,4.11,1.42,0.18,18.6,981,13.2,91,3.5,317,15.5,32,3.75,15.3,2.94,0.9,2.51,0.38,2.28,0.47,1.37,0.21,1.46,0.24,2.5,0.2,3.53,0.55
Au-rich PCDs,Atlas Cu-Au,59.71,0.46,17.16,6.39,0.08,2.91,5.52,4.07,0.89,0.18,12.5,729,11.8,96,3.4,265,13.9,27.8,3.29,12.8,2.53,0.89,2.3,0.34,2.02,0.43,1.28,0.19,1.38,0.24,2.8,0.2,3.62,0.51
Au-rich PCDs,Atlas Cu-Au,60.46,0.44,16.97,6.28,0.09,3.13,5.71,3.95,0.77,0.18,9.6,642,11.1,89,3,279,13.1,26.6,3.13,12.7,2.57,0.9,2.33,0.31,1.86,0.41,1.21,0.18,1.29,0.22,2.4,0.2,2.61,0.37
Au-rich PCDs,Atlas Cu-Au,58.92,0.49,17.04,6.12,0.1,3.08,5.71,3.12,0.97,0.18,16.6,543,13.2,88,3.6,204,17.3,35.8,4.09,15.1,2.96,1.01,2.53,0.38,2.23,0.49,1.41,0.2,1.36,0.23,2.5,0.2,3.65,0.63
Au-rich PCDs,Atlas Cu-Au,59.31,0.48,17.12,5.89,0.07,3.02,5.75,3.3,1.06,0.18,14.4,626,12.7,97,3.5,310,16.6,32.8,3.76,14.9,2.96,1,2.48,0.37,2.2,0.49,1.4,0.22,1.46,0.24,2.8,0.2,3.66,0.85
Au-rich PCDs,Atlas Cu-Au,59.15,0.42,16.78,7.56,0.09,3.09,5.22,4.17,0.73,0.18,9.5,606,10.8,97,2.7,279,13.1,26,3.16,12.4,2.46,0.81,2.21,0.31,1.81,0.38,1.12,0.18,1.27,0.2,2.5,0.2,2.66,0.36
Au-rich PCDs,Atlas Cu-Au,59.75,0.43,16.2,7.65,0.09,3.07,5.15,4.02,0.67,0.17,8.9,609,10.9,97,2.9,262,12.9,25.5,3.07,12.1,2.26,0.9,2.18,0.3,1.8,0.41,1.16,0.17,1.27,0.22,2.5,0.2,3.14,0.41
Au-rich PCDs,Atlas Cu-Au,57.88,0.43,16.56,8.92,0.1,3.27,4.96,4.31,0.63,0.19,8.4,605,10.7,98,2.6,248,12.2,25.2,2.87,11.2,2.29,0.77,2,0.3,1.7,0.36,1.13,0.17,1.22,0.21,2.6,0.2,3.06,0.34
Au-rich PCDs,Atlas Cu-Au,59.67,0.47,17,6.08,0.08,3.08,5.21,4.01,1.59,0.18,20.4,960,14.2,90,3.3,396,15.1,30.9,3.79,14.7,3.09,0.97,2.76,0.4,2.33,0.51,1.43,0.22,1.59,0.26,2.5,0.2,3.55,0.6
Au-rich PCDs,Atlas Cu-Au,58.33,0.49,17.08,6.15,0.09,3.15,4.86,3.45,1.88,0.18,34.3,579,13.3,98,3.5,323,18.7,37.1,4.18,16,3.18,1.01,2.63,0.39,2.37,0.49,1.44,0.22,1.51,0.24,2.8,0.2,3.09,0.62
Au-rich PCDs,Atlas Cu-Au,59.15,0.46,17.1,6.03,0.12,3.08,4.88,3.61,1.87,0.16,32.9,586,12.1,97,3.2,343,17.3,33.9,3.72,14.1,2.66,1,2.32,0.36,2.03,0.44,1.29,0.19,1.31,0.22,2.6,0.2,3.11,0.61
Au-rich PCDs,Altar region Cu-Au,64.12,0.69,18.62,3.53,0.03,1.2,2.2,5.28,1.61,0.08,59.9,837.4,9.1,147.6,4.8,484,21.5,45.2,5.4,21.1,3.45,0.89,2.3,0.3,1.54,0.24,0.72,0.11,0.67,0.09,4,0.3,3.3,1
Au-rich PCDs,Altar region Cu-Au,64.25,0.69,18.54,3.64,0.03,1.28,2.17,5.45,1.54,0.07,58.8,799.7,6.7,135.9,4.6,421,21.6,44.5,5.28,20.5,2.93,0.86,1.98,0.26,1.28,0.23,0.66,0.09,0.66,0.08,3.6,0.3,3,1
Au-rich PCDs,Altar region Cu-Au,63.82,0.58,16.74,3.79,0.6,1.35,1.5,5,2.72,0.18,44.9,522.1,5,104.9,4.5,797,11.9,26.8,3.41,13.7,2.42,0.72,1.63,0.2,1.07,0.16,0.5,0.07,0.51,0.08,3,0.4,3.1,1.2
Au-rich PCDs,Altar region Cu-Au,63.26,0.67,17.94,3.75,0.09,1.41,3.6,5.65,1.63,0.23,35.7,905.4,7.9,127.2,4.8,552,19.6,41.9,5.22,21.1,3.51,0.98,2.42,0.31,1.55,0.27,0.72,0.1,0.67,0.1,3.4,0.3,3,1.1
Au-rich PCDs,Altar region Cu-Au,63.55,0.66,17.84,3.54,0.05,1.38,4.22,5.47,1.8,0.24,43.5,1019.5,7.2,141.3,5.4,561,19.5,42.2,5.49,22.3,3.53,0.99,2.25,0.28,1.28,0.23,0.59,0.08,0.58,0.09,3.6,0.4,3.3,1.1
Au-rich PCDs,Batu Hijau Cu-Au,65.86,0.43,15.97,4.48,0.11,2.34,5.52,3.88,1.03,0.37,18,407,10,64,2.2,570,8.1,16.9,2.05,8.65,1.99,0.68,1.96,0.32,1.73,0.34,1.04,0.16,1.09,0.17,2.1,0.17,1.75,0.49
Au-rich PCDs,Batu Hijau Cu-Au,65.87,0.44,15.98,4.94,0.13,2.39,5.35,3.57,0.67,0.15,12,406,10,70,2,407,8.42,18.3,2.2,9.11,2.07,0.72,2.2,0.33,1.85,0.38,1.13,0.16,1.06,0.19,1.9,0.13,1.74,0.46
Au-rich PCDs,Batu Hijau Cu-Au,67.76,0.3,16.08,3.52,0.05,1.39,3.58,5.01,0.75,0.2,16,446,10,63,1.3,680,8,18,2.19,9.48,1.97,0.61,1.91,0.28,1.62,0.33,1.04,0.17,1.14,0.2,2.5,0.16,2.12,0.55
Au-rich PCDs,Kounrad Cu-Au,67.48,0.41,15.81,3.59,0.08,1.39,2.02,4.27,2.01,0.15,60.2,357,8.93,74.6,4.98,502,17.6,36.2,4.37,16.9,2.9,0.75,2.04,0.33,1.67,0.29,0.87,0.14,1.02,0.14,2.45,0.45,6.42,2.16
Au-rich PCDs,Kounrad Cu-Au,67.54,0.43,16.08,2.8,0.05,1.46,2.16,4.7,2.16,0.15,60.5,670,9.83,95.7,4.92,711,20.7,40.9,4.99,19.1,3.29,0.92,2.48,0.37,1.84,0.34,0.99,0.16,1.02,0.15,3.08,0.44,7.47,1.99
Au-rich PCDs,Kounrad Cu-Au,66.1,0.45,17.53,2.43,0.06,1.58,3.44,2.93,3.4,0.16,88.9,211,8.25,92.8,4.65,507,12.2,26.2,3.39,12.2,2.27,0.5,1.71,0.3,1.52,0.28,0.85,0.14,0.97,0.15,2.92,0.42,7.35,2.11
Au-rich PCDs,Kounrad Cu-Au,65.24,0.5,16.56,4.39,0.08,1.82,1.23,4.71,2.42,0.19,29.4,487,12.1,100.5,4.81,595,15.9,31.7,4.4,17.6,3.38,0.85,2.57,0.38,1.99,0.39,1.16,0.16,1.17,0.17,3.15,0.91,7.02,2.17
Au-rich PCDs,Kounrad Cu-Au,65.9,0.54,16.18,4.96,0.19,1.91,1.63,4.16,1.94,0.2,47.67,584.2,11.54,138.7,5.79,659.7,19.98,40.2,5.04,18.58,3.47,0.91,2.73,0.38,2.13,0.41,1.09,0.16,1.07,0.16,4.05,0.5,6.88,2.36
Au-rich PCDs,Pulang Cu-Au,59.8,0.69,14.45,7.41,0.03,3.67,2.54,2.84,5.48,0.41,234,690,17.2,141,12.2,1980,39.1,73.8,8.41,30.9,5.52,1.72,4.71,0.72,3.21,0.61,1.68,0.23,1.42,0.23,3.62,0.81,14.7,3.81
Au-rich PCDs,Pulang Cu-Au,63.5,0.58,13.9,4.87,0.07,2.56,4.07,2.69,5.08,0.41,153,772,16.2,123,13.4,1440,33.4,64.2,7.45,27.8,4.88,1.36,4.08,0.62,2.98,0.57,1.61,0.23,1.45,0.22,3.56,0.97,16.8,4.17
Au-rich PCDs,Pulang Cu-Au,68.4,0.51,12.4,4.37,0.01,1.92,1.02,2.26,5.65,0.32,123,834,17.8,141,12.3,1970,34.8,73.4,8.01,30,5.87,1.55,5.03,0.72,3.34,0.65,1.75,0.25,1.49,0.23,3.56,0.81,13.1,2.68
Au-rich PCDs,Pulang Cu-Au,64.5,0.53,16.2,3.91,0.07,1.92,3.73,4.31,3.28,0.21,89.2,1210,13.1,218,13.1,1240,39.5,73.6,8.1,28.2,4.6,1.16,3.21,0.52,2.19,0.48,1.3,0.19,1.24,0.19,5.51,0.89,13.9,3.46
Au-rich PCDs,Pulang Cu-Au,65.4,0.51,15.25,3.93,0.02,1.94,3.56,3.89,3.64,0.25,100,972,13.4,169,10.4,1110,38.6,69.7,7.48,26.3,4.32,1.08,3.21,0.51,2.48,0.49,1.38,0.2,1.27,0.2,4.32,0.72,14.2,3.55
Au-rich PCDs,Pulang Cu-Au,66.3,0.49,13.9,4.24,0.04,2.04,2.62,2.96,5.19,0.34,152,655,16.3,147,13.4,1200,27.8,55.5,6.36,23.6,4.74,1.15,3.58,0.6,2.94,0.58,1.65,0.25,1.51,0.24,4.21,1.08,20.5,3.35
Au-rich PCDs,Pulang Cu-Au,65.3,0.54,13.65,4.25,0.05,2.28,3.52,3.43,4.5,0.36,150,644,14.9,135,13.6,946,30.7,59.1,6.77,25.1,4.64,1.12,3.71,0.58,2.74,0.53,1.47,0.22,1.35,0.21,3.92,1.03,20.5,6.39
Au-rich PCDs,Pulang Cu-Au,66,0.5,15.9,3.5,0.05,2.3,4,3.9,3.6,0.2,110,1213,14,171,8.4,1532,25.5,49,5.41,20.6,3.79,1.03,2.93,0.41,2.24,0.42,1.29,0.19,1.27,0.2,4.2,0.9,9.16,2.72
Au-rich PCDs,Pulang Cu-Au,64,0.5,15.3,5.7,0.04,1.7,3.5,3.6,3.5,0.2,79,1003,13,171,9.6,1386,32.1,59.5,6.3,23,4.09,1.25,3.38,0.45,2.53,0.48,1.46,0.22,1.45,0.22,4.6,1.11,12.4,3.65
Au-rich PCDs,Pulang Cu-Au,59,0.7,14.3,9.9,0.1,3.4,5.2,2.7,4,0.4,96,948,15,169,10.6,2058,37.7,71.6,7.84,29.9,6.16,1.54,5.09,0.63,3.34,0.6,1.66,0.23,1.59,0.24,4.2,1.13,13.1,3.51
Au-rich PCDs,Pulang Cu-Au,60,0.7,14.4,7.2,0.08,3.8,5.2,2.8,4,0.4,127,856,17,171,10.3,2194,39.3,73.8,8.07,31.1,6.03,1.83,5.11,0.67,3.42,0.63,1.76,0.24,1.5,0.23,4,0.99,12.4,3.3
Au-rich PCDs,Pulang Cu-Au,63,0.5,15.2,7,0.07,2.2,3.7,3.3,4.3,0.2,86,1403,13,178,9.3,2279,49.5,90.7,9.36,33.7,5.16,1.44,3.73,0.47,2.36,0.45,1.35,0.2,1.23,0.18,4.5,1.03,13.6,3.3
Au-rich PCDs,Pulang Cu-Au,64,0.7,15.5,3.2,0.02,3,2.3,3.8,4.3,0.3,166,852,14,168,9.5,1145,23.3,47.5,5.5,22.1,4.3,1.18,3.7,0.51,2.62,0.48,1.39,0.21,1.32,0.2,4.4,1.11,10.3,2.23
Au-rich PCDs,Pulang Cu-Au,66,0.6,14.2,5.5,0.04,2.3,3.9,3,4.6,0.3,127,755,15,144,12.3,1080,31.1,62.4,6.95,27,4.89,1.36,4.18,0.54,2.87,0.53,1.52,0.23,1.45,0.22,3.9,1.36,17.5,5.62
Au-rich PCDs,Pulang Cu-Au,64,0.6,14.1,6.1,0.06,2.5,3.9,3.3,4.5,0.4,122,816,15,169,12.2,1432,32.3,66.2,7.41,28.1,5.3,1.44,4.27,0.61,3.14,0.59,1.67,0.23,1.5,0.24,4.5,1.3,14.2,2.97
Au-rich PCDs,Pulang Cu-Au,64,0.6,14.2,6.2,0.07,2.6,3.9,2.7,4.7,0.5,137,719,14,177,13.6,1289,31.4,61.1,6.8,26.6,5.1,1.4,4.47,0.59,3.2,0.58,1.56,0.23,1.56,0.23,4.9,1.7,16.5,2.72
